State/UT,Total Schools - All Management,Total Schools - Government.,Total Schools - Government. Aided,Total Schools - Pvt. Unaided,Total Schools - Others,Schools having Functional Mobile Phones used for Teaching Purposes - All Management,Schools having Functional Mobile Phones used for Teaching Purposes - Government.,Schools having Functional Mobile Phones used for Teaching Purposes - Government. Aided,Schools having Functional Mobile Phones used for Teaching Purposes - Pvt. Unaided,Schools having Functional Mobile Phones used for Teaching Purposes - Others,Percentage of Schools having Functional Mobile Phones Used for Teaching Purposes - All Management,Percentage of Schools having Functional Mobile Phones Used for Teaching Purposes - Government.,Percentage of Schools having Functional Mobile Phones Used for Teaching Purposes - Government. Aided,Percentage of Schools having Functional Mobile Phones Used for Teaching Purposes - Pvt. Unaided,Percentage of Schools having Functional Mobile Phones Used for Teaching Purposes - Others,Category
Manipur,4617,2889,583,1010,135,309,90,32,177,10,6.7,3.1,5.5,17.5,7.4,Schools having Functional Mobile Phones Used for Teaching Purposes
Meghalaya,14600,7783,4172,2120,525,258,97,82,65,14,1.8,1.3,2,3.1,2.7,Schools having Functional Mobile Phones Used for Teaching Purposes
Mizoram,3911,2563,230,1034,84,9,4,0,5,0,0.2,0.2,0,0.5,0,Schools having Functional Mobile Phones Used for Teaching Purposes
Nagaland,2718,1960,0,757,1,233,97,0,135,1,8.6,5,0,17.8,100,Schools having Functional Mobile Phones Used for Teaching Purposes
Odisha,62291,49072,5807,6104,1308,4315,2166,326,1509,314,6.9,4.4,5.6,24.7,24,Schools having Functional Mobile Phones Used for Teaching Purposes
Puducherry,736,422,33,281,0,183,83,8,92,0,24.9,19.7,24.2,32.7,0,Schools having Functional Mobile Phones Used for Teaching Purposes
Punjab,27701,19259,450,7978,14,7749,5125,66,2555,3,28,26.6,14.7,32,21.4,Schools having Functional Mobile Phones Used for Teaching Purposes
Rajasthan,106373,68948,0,34826,2599,10209,3214,0,6911,84,9.6,4.7,0,19.8,3.2,Schools having Functional Mobile Phones Used for Teaching Purposes
Sikkim,1259,864,19,376,0,148,69,0,79,0,11.8,8,0,21,0,Schools having Functional Mobile Phones Used for Teaching Purposes
Tamil Nadu,58801,37636,8323,12396,446,0,0,0,0,0,0,0,0,0,0,Schools having Functional Mobile Phones Used for Teaching Purposes
Telangana,43083,30023,700,12193,167,3188,2268,48,870,2,7.4,7.6,6.9,7.1,1.2,Schools having Functional Mobile Phones Used for Teaching Purposes
Tripura,4929,4262,43,363,261,342,258,7,63,14,6.9,6.1,16.3,17.4,5.4,Schools having Functional Mobile Phones Used for Teaching Purposes
Uttar Pradesh,258054,137024,8113,97808,15109,22123,9671,648,11113,691,8.6,7.1,8,11.4,4.6,Schools having Functional Mobile Phones Used for Teaching Purposes
Uttarakhand,22815,16484,608,5225,498,2389,1156,64,1130,39,10.5,7,10.5,21.6,7.8,Schools having Functional Mobile Phones Used for Teaching Purposes
West Bengal,94744,83302,88,9750,1604,94624,83222,87,9714,1601,99.9,99.9,98.9,99.6,99.8,Schools having Functional Mobile Phones Used for Teaching Purposes
INDIA,1489115,1022386,82480,335844,48405,264053,169938,16044,72263,5808,17.7,16.6,19.5,21.5,12,Schools having Functional Mobile Phones Used for Teaching Purposes
