CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
National Accounts,GDP,CSO,Rupees,Annual,INR,NAGDREAGDP12A,Real GDP (2011-12 Series),2018-03-31,131446000000000,5947370000000,155722000000,2199190000000,3440280000000,2201360000000,526527000000,10865700000000,4820360000000,1094060000000,1066240000000,2105870000000,10197100000000,5161900000000,4971020000000,18887100000000,187507000000,225643000000,147578000000,164398000000,3611170000000,3754060000000,6280200000000,176734000000,11257900000000,5574100000000,330928000000,10564000000000,1809560000000,6949810000000,64644455979,284797000000,5420150000000,223177000000,,,,,,,
National Accounts,GDP,CSO,Rupees,Annual,INR,NAGDREAGDP12A,Real GDP (2011-12 Series),2019-03-31,139929000000000,6266140000000,166684000000,2310400000000,3813830000000,2445790000000,530630000000,11830200000000,5329960000000,1164140000000,1150620000000,2292740000000,10851000000000,5542280000000,5432720000000,19573800000000,182622000000,237189000000,161004000000,168677000000,3867330000000,3970190000000,6432780000000,186250000000,12046700000000,6084010000000,367540000000,10973500000000,1860830000000,7389200000000,68669893340,298658000000,5653270000000,262089000000,,,,,,,
National Accounts,GDP,CSO,Rupees,Annual,INR,NAGDREAGDP12A,Real GDP (2011-12 Series),2020-03-31,145346000000000,6498100000000,191403000000,2407070000000,3983290000000,2513250000000,548115000000,12652800000000,5442750000000,1211870000000,1139190000000,2317550000000,11488100000000,5591940000000,5675250000000,20046600000000,191872000000,249234000000,178843000000,184768000000,3975300000000,4132950000000,6767850000000,194920000000,12438400000000,6409680000000,380634000000,11416300000000,1897400000000,7619010000000,72657406556,316793000000,5861680000000,263743000000,,,,,,,
National Accounts,GDP,CSO,Rupees,Annual,INR,NAGDREAGDP12A,Real GDP (2011-12 Series),2021-03-31,136871000000000,6337200000000,184514000000,2429460000000,3687330000000,2468040000000,533601000000,12411200000000,5103060000000,1175550000000,1122730000000,2194830000000,11082100000000,5117030000000,5439350000000,18583700000000,180734000000,229669000000,164274000000,176731000000,3891250000000,4072640000000,6635150000000,195570000000,12446500000000,6022840000000,364039000000,10931700000000,1787640000000,7112350000000,67148735103,286185000000,5476820000000,240214000000,,,,,,,
