District,Population_Male,Population_Female,Population_Total,Percentage Share to Total Population,Rank
Chiknayakanahalli,108407,111497,219904,7.85,1
Sira,163431,162179,325610,11.62,2
Pavagada,125709,125473,251182,8.97,3
Madhugiri,136709,137315,274024,9.78,4
Koratagere,85360,85490,170850,6.1,5
Tumkur,328474,324813,653287,23.32,6
Gubbi,133224,133307,266531,9.51,7
Tiptur,116062,118850,234912,8.38,8
Turuvekere,85100,87474,172574,6.16,9
Kunigal,115392,117485,232877,8.31,10
Srinivaspura,112197,110194,222391,12.9,1
Kolar,219958,214577,434535,25.21,2
Malur,133637,127886,261523,15.18,3
Bangarpet,116620,115414,232034,13.46,4
Mulabagilu,143952,143546,287498,16.68,5
K.G.F,143395,141954,285349,16.56,6
Bangalore (North),3843892,3587308,7431200,50.06,1
Bangalore-South,1954331,1789524,3743855,25.22,2
Anekal,360128,300828,660956,4.45,3
Bangalore-East,1090766,976993,2067759,13.93,4
Yelahanka,495745,445980,941725,6.34,5
Nelamangala,129944,119459,249403,21.02,1
Doddaballapura,190288,175134,365422,30.79,2
Devanahalli,131745,121342,253087,21.33,3
Hoskote,165833,152957,318790,26.86,4
Krishnarajpet,132974,132971,265945,14.34,1
Nagamangala,95608,96151,191759,10.34,2
Pandavpura,94064,93323,187387,10.1,3
Srirangapatna,92546,92866,185412,10,4
Mandya,217239,215092,432331,23.31,5
Maddur,151229,150902,302131,16.29,6
Malavalli,146107,143926,290033,15.64,7
Sakleshpura,65147,68172,133319,7.18,1
Belur,93440,94711,188151,10.14,2
Arsikere,162841,162845,325686,17.55,3
Hassan,217432,222203,439635,23.69,4
Alur,42853,43047,85900,4.63,5
Arkalgud,103794,102646,206440,11.12,6
Holenarasipura,94887,93082,187969,10.13,7
Channarayapatna,143426,145485,288911,15.57,8
Mangalore,490465,502837,993302,42.55,1
Bantwal,219731,221925,441656,18.92,2
Belthangady,147412,150378,297790,12.76,3
Puttur,103046,104136,207182,8.88,4
Sulya,70491,72062,142553,6.11,5
Mudabidri,57775,59933,117708,5.04,6
Kadaba,66897,67134,134031,5.74,7
Madikeri,73273,76175,149448,26.61,1
Somawarpet,101619,106882,208501,37.12,2
Virajpet,99707,103990,203697,36.27,3
Piriyapatna,132333,130226,262559,7.53,1
Hunsur,156136,152898,309034,8.87,2
K.R.Nagar,138876,138415,277291,7.96,3
Mysuru,804850,793774,1598624,45.87,4
Heggadadevanakote,98707,97425,196132,5.63,5
Nanjangud,210397,209135,419532,12.04,6
T.Narasipura,166209,161929,328138,9.42,7
Saraguru,46820,46817,93637,2.69,8
Gundlupet,116537,119564,236101,21.69,1
Chamarajanagara,189466,193486,382952,35.18,2
Yalandur,43235,43535,86770,7.97,3
Kollegala,96055,96332,192387,17.67,4
Kollegala(Hanur),95721,94561,190282,17.48,5
Gauribidanur,160459,158257,318716,22.88,1
Chikballapur,122022,117845,239867,17.22,2
Gudibande,30647,30572,61219,4.39,3
Bagepalli,101750,99878,201628,14.47,4
Shidlagatta,120741,117746,238487,17.12,5
Chinthamani,167453,165684,333137,23.91,6
Magadi,106526,106446,212972,18.45,1
Ramanagar,150109,146475,296584,25.69,2
Channapatna,138854,141626,280480,24.3,3
Kanakpura,184486,179935,364421,31.57,4
Yadgir,122770,136559,259329,17.58,1
Shahapur,115384,113672,229056,15.52,2
Shorapur,131895,131189,263084,17.83,3
Gurumithakala,124804,119594,244398,16.56,4
Vadagera,115147,113440,228587,15.49,5
Hunisigi,127609,123482,251091,17.02,6
State Total,37173788,36132705,73306493,100,NA
