CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Rate of Population Change,World Population Prospects,Percentage,Annually,Null,DMRPCINPERGLA,Rate of Population Change - India,2018-12-31,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Rate of Population Change,World Population Prospects,Percentage,Annually,Null,DMRPCINPERGLA,Rate of Population Change - India,2019-12-31,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Rate of Population Change,World Population Prospects,Percentage,Annually,Null,DMRPCINPERGLA,Rate of Population Change - India,2020-12-31,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Rate of Population Change,World Population Prospects,Percentage,Annually,Null,DMRPCINPERGLA,Rate of Population Change - India,2021-12-31,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
