CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPINABSGLA,Total Population by Sex - India,31-12-2018,1369003307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPINABSGLA,Total Population by Sex - India,31-12-2019,1383112051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPINABSGLA,Total Population by Sex - India,31-12-2020,1396387127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPINABSGLA,Total Population by Sex - India,31-12-2021,1407563842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPITABSGLA,Total Population by Sex - Italy,31-12-2018,59877426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPITABSGLA,Total Population by Sex - Italy,31-12-2019,59727932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPITABSGLA,Total Population by Sex - Italy,31-12-2020,59500579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPITABSGLA,Total Population by Sex - Italy,31-12-2021,59240330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPJPABSGLA,Total Population by Sex - Japan,31-12-2018,126255866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPJPABSGLA,Total Population by Sex - Japan,31-12-2019,125791677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPJPABSGLA,Total Population by Sex - Japan,31-12-2020,125244761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPJPABSGLA,Total Population by Sex - Japan,31-12-2021,124612531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPMXABSGLA,Total Population by Sex - Mexico,31-12-2018,124013862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPMXABSGLA,Total Population by Sex - Mexico,31-12-2019,125085311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPMXABSGLA,Total Population by Sex - Mexico,31-12-2020,125998302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPMXABSGLA,Total Population by Sex - Mexico,31-12-2021,126705138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPHABSGLA,Total Population by Sex - Phillipines,31-12-2018,108568836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPHABSGLA,Total Population by Sex - Phillipines,31-12-2019,110380805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPHABSGLA,Total Population by Sex - Phillipines,31-12-2020,112190978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPHABSGLA,Total Population by Sex - Phillipines,31-12-2021,113880328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPLABSGLA,Total Population by Sex - Poland,31-12-2018,38521457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPLABSGLA,Total Population by Sex - Poland,31-12-2019,38493601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPLABSGLA,Total Population by Sex - Poland,31-12-2020,38428367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPPLABSGLA,Total Population by Sex - Poland,31-12-2021,38307726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPRUABSGLA,Total Population by Sex - Russia,31-12-2018,145652293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPRUABSGLA,Total Population by Sex - Russia,31-12-2019,145742287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPRUABSGLA,Total Population by Sex - Russia,31-12-2020,145617329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPRUABSGLA,Total Population by Sex - Russia,31-12-2021,145102755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSAABSGLA,Total Population by Sex - South Africa ,31-12-2018,57339635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSAABSGLA,Total Population by Sex - South Africa ,31-12-2019,58087055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSAABSGLA,Total Population by Sex - South Africa ,31-12-2020,58801927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSAABSGLA,Total Population by Sex - South Africa ,31-12-2021,59392255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSKABSGLA,Total Population by Sex - South Korea,31-12-2018,51676900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSKABSGLA,Total Population by Sex - South Korea,31-12-2019,51803830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSKABSGLA,Total Population by Sex - South Korea,31-12-2020,51844691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
